MAC_ADDRESS,SERIAL_NUMBER
F0:B6:BE:F1:EC:D6,751
,752
D6:C6:08:44:27:3E,752
,754
,755
,756
,758
,761
,762
,763
,764
,765
,766
,767
,769
,770
,771
,772
E3:35:3F:27:A5:7B,791
,8
,813
,814
,815
,816
,817
,818
,820
,821
,822
,824
,825
,826
,827
,828
,829
,831
,832
,833
D5:93:1C:1F:31:73,833
,834
,835
,8354
,837
D4:88:93:E9:23:C7,838
,838
,839
D8:D0:AD:DF:79:E6,841
C3:3D:89:5C:53:0B,842
E8:36:44:27:54:76,852
,8596
CA:4B:77:7E:66:61,866
,8786
,8787
,8788
,8789
DE:3B:B9:4B:BE:91,879
,879
,8790
,880
DF:4F:A2:AB:BE:CA,881
,881
,883
DE:88:74:CB:2D:E0,888
,900
,901
,9098
,9100
,9105
,9107
,9112
,9195
,9198
,9199
,9200
,9203
,9208
,935
,945
,956
,957
,959
,960
,963
,964
,966
,967
,968
,969
,971
,972
,977
,978
,979
,982
C0:AD:3C:7C:96:3B,983
,983
,984
E0:8E:47:45:11:E0,984
DA:27:6A:23:E2:54,985
D4:27:C5:A4:9E:F8,986
,986
F1:55:F8:22:4A:B0,987
,987
EB:FB:56:F8:04:C5,988
,988
,989
,991
,992
,997
,999
,9999
